ID,Member_ID,Customer_ID,Service_ID,Branch_ID,Date_ID,Channel,Action,Severity
0,925,43052,51,21,42709,Online,Feedback,6
1,470,4196,34,49,43798,Phone,Feedback,8
2,70,8484,11,11,18831,Online,Complaint,8
3,360,385,66,18,14381,Phone,Inquiry,1
4,222,20369,40,22,13736,Phone,Inquiry,3
5,980,42723,86,53,41593,In Person,Feedback,9
6,141,23086,0,49,40555,In Person,Complaint,9
7,797,20066,95,52,36412,In Person,Inquiry,10
8,579,19797,71,28,46388,Phone,Inquiry,7
9,915,40606,12,1,39449,Online,Complaint,2
10,833,21449,83,45,18017,In Person,Complaint,3
11,715,42286,43,47,17141,In Person,Feedback,9
12,664,39426,28,2,1217,Phone,Feedback,3
13,970,13093,9,53,46782,In Person,Feedback,2
14,549,39922,15,11,39252,In Person,Feedback,4
15,815,32901,16,51,8892,In Person,Inquiry,7
16,636,38961,73,31,18513,In Person,Feedback,9
17,913,34911,86,53,18925,In Person,Complaint,3
18,523,13317,18,23,30386,In Person,Feedback,3
19,869,33247,36,20,47651,Online,Feedback,5
20,148,35089,32,13,21434,In Person,Inquiry,6
21,474,13867,51,25,39552,Online,Inquiry,7
22,525,19124,98,3,38855,In Person,Complaint,5
23,347,14656,22,50,25381,Online,Inquiry,6
24,942,24111,16,31,31399,Online,Feedback,6
25,232,20188,81,49,33072,In Person,Inquiry,3
26,536,7606,55,49,47408,In Person,Inquiry,6
27,788,15923,98,49,42030,Online,Inquiry,10
28,162,12120,93,6,46510,In Person,Feedback,3
29,19,16244,94,13,24457,Phone,Complaint,6
30,472,32379,94,41,39863,In Person,Complaint,8
31,179,8475,60,33,31465,Online,Complaint,8
32,586,6530,63,30,30647,Online,Feedback,4
33,670,1102,81,37,10481,In Person,Feedback,5
34,251,16011,85,37,2663,Phone,Complaint,6
35,514,3213,99,36,762,Phone,Complaint,2
36,752,22737,26,49,32324,Online,Complaint,8
37,234,6269,6,37,4020,Phone,Feedback,7
38,931,34910,44,36,10677,In Person,Inquiry,9
39,132,10102,47,33,3759,In Person,Feedback,5
40,766,40870,54,15,37838,Online,Inquiry,10
41,768,34843,53,14,41199,In Person,Complaint,7
42,203,14352,77,12,26499,Phone,Feedback,9
43,39,24881,1,42,13461,In Person,Inquiry,5
44,594,37618,61,53,7002,Phone,Feedback,2
45,425,381,39,9,3692,Online,Feedback,9
46,812,42779,10,30,21052,Phone,Feedback,3
47,189,38246,41,23,4818,In Person,Inquiry,1
48,755,5897,32,6,32881,Online,Inquiry,7
49,219,44432,60,4,15426,Online,Inquiry,1
50,53,10740,62,18,15094,Phone,Complaint,6
51,835,28250,37,7,23759,Phone,Feedback,3
52,937,26871,67,50,3843,Phone,Feedback,4
53,691,33223,61,40,36541,Phone,Complaint,9
54,989,27469,98,24,36891,Phone,Complaint,2
55,401,21529,86,40,48191,In Person,Inquiry,9
56,595,7860,80,29,11819,Online,Complaint,5
57,362,37698,46,29,44078,In Person,Feedback,8
58,779,34466,52,37,19656,Phone,Feedback,7
59,475,31095,58,41,7716,In Person,Complaint,9
60,823,12105,57,11,21152,In Person,Feedback,1
61,357,5806,1,3,30073,Online,Feedback,2
62,386,40,61,25,14574,In Person,Feedback,7
63,607,39466,43,22,12276,Online,Complaint,7
64,930,39624,53,28,37280,Online,Feedback,8
65,220,33370,58,37,44114,Online,Inquiry,9
66,940,40528,33,7,22478,In Person,Complaint,2
67,908,36063,11,46,21880,Online,Inquiry,8
68,442,4282,69,24,4106,Phone,Inquiry,8
69,703,1743,72,43,29938,In Person,Complaint,8
70,888,16193,9,21,14179,In Person,Complaint,1
71,454,42393,55,18,28473,Phone,Inquiry,8
72,892,4353,70,48,16705,Phone,Inquiry,10
73,965,632,87,7,25865,Phone,Complaint,10
74,292,14500,19,52,15275,Online,Inquiry,3
75,223,4872,12,50,4943,In Person,Complaint,2
76,204,9606,65,14,30509,Online,Complaint,2
77,816,17288,53,23,19689,Online,Complaint,9
78,311,10763,71,18,46331,Online,Complaint,9
79,49,6993,9,46,27802,Phone,Complaint,9
80,949,7375,35,17,33672,In Person,Inquiry,3
81,722,6385,1,4,16495,Phone,Inquiry,5
82,208,31160,13,30,42240,Phone,Inquiry,6
83,857,8534,98,37,49407,Online,Complaint,8
84,340,43223,76,12,36476,Online,Feedback,1
85,835,14634,54,47,10900,In Person,Complaint,5
86,80,22783,6,17,25535,Online,Complaint,7
87,370,10962,23,6,6474,Phone,Feedback,3
88,259,4085,15,53,34217,In Person,Complaint,8
89,231,9081,70,22,7069,Phone,Feedback,10
90,435,25288,86,20,11375,Online,Inquiry,10
91,363,23914,59,4,29694,Phone,Inquiry,4
92,934,985,90,24,48407,In Person,Feedback,2
93,749,19730,44,41,40678,Phone,Feedback,1
94,28,38387,56,48,27174,Online,Feedback,8
