Date_ID,Minute,Hour,Day,Week,Month,Quarter,Year
0,36,19,8,14,2,1,2022
1,42,11,8,23,10,4,2018
2,22,12,10,3,2,1,2022
3,15,0,6,39,7,3,2020
4,17,19,25,45,12,4,2021
5,40,14,4,16,10,4,2021
6,17,20,29,29,1,1,2023
7,24,10,3,36,11,4,2022
8,44,1,5,38,1,1,2018
9,22,16,27,39,10,4,2023
10,4,12,10,18,10,4,2018
11,10,7,19,1,7,3,2021
12,16,17,14,6,11,4,2023
13,57,8,24,42,2,1,2019
14,28,23,13,3,8,3,2023
15,30,20,13,35,3,1,2023
16,43,20,13,51,10,4,2019
17,31,3,3,42,4,2,2019
18,22,19,19,26,4,2,2018
19,33,23,30,8,7,3,2019
20,5,19,15,6,2,1,2023
21,57,19,2,31,6,2,2019
22,23,8,10,46,5,2,2023
23,13,14,23,44,5,2,2018
24,26,17,27,19,2,1,2023
25,0,3,1,41,8,3,2020
26,16,10,21,27,8,3,2018
27,49,11,4,30,7,3,2020
28,49,10,12,32,3,1,2022
29,39,14,26,10,1,1,2019
30,23,18,3,7,6,2,2023
31,9,15,27,13,4,2,2022
32,39,19,18,20,9,3,2022
33,23,11,11,20,12,4,2018
34,7,0,13,33,1,1,2019
35,59,8,3,50,5,2,2018
36,4,5,3,11,2,1,2021
37,13,23,6,19,1,1,2021
38,23,13,2,5,7,3,2020
39,50,3,20,51,7,3,2022
40,35,15,11,51,2,1,2020
41,59,17,13,15,1,1,2022
42,4,6,11,22,4,2,2019
43,19,19,22,5,11,4,2020
44,56,2,3,39,12,4,2023
45,28,17,20,45,5,2,2023
46,32,13,24,9,11,4,2021
47,52,18,6,45,2,1,2021
48,58,13,28,10,3,1,2018
49,2,2,13,46,8,3,2019
50,49,22,25,37,3,1,2021
51,0,8,3,2,3,1,2019
52,0,15,12,12,7,3,2018
53,23,11,10,23,3,1,2021
54,21,23,16,8,1,1,2020
55,31,16,29,1,2,1,2022
56,45,10,19,22,10,4,2019
57,21,5,3,18,5,2,2020
58,33,19,6,49,7,3,2018
59,32,18,27,10,7,3,2022
60,24,3,12,35,9,3,2021
61,51,8,11,8,3,1,2019
62,58,3,18,14,10,4,2021
63,19,4,26,8,4,2,2022
64,30,13,28,29,3,1,2018
65,44,16,22,42,4,2,2021
66,47,14,8,28,5,2,2021
67,36,13,23,5,5,2,2020
68,14,4,29,14,3,1,2022
69,38,2,26,5,8,3,2022
70,11,7,20,39,1,1,2023
71,13,18,23,32,11,4,2019
72,55,10,19,48,3,1,2019
73,18,5,20,37,5,2,2018
74,55,20,29,8,5,2,2021
75,30,9,20,26,4,2,2020
76,8,9,2,28,1,1,2022
77,36,20,27,4,11,4,2023
78,32,10,14,21,7,3,2021
79,50,15,15,50,1,1,2021
80,14,11,3,3,7,3,2020
81,10,1,10,31,8,3,2022
82,38,4,9,42,9,3,2020
83,15,7,9,18,9,3,2018
84,49,9,24,44,4,2,2020
